"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Red-rumped Swallow","Cecropis daurica",,"Jorge Leitão",2014-08-17,06:00,"Quinta dos Pinheiros, Lagos, Faro",Portugal,37.118,-8.6554,30,"male, song","

bird-seen:yes

playback-used:no","Streptopelia decaocto",732234,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",japonica,"Geoff Carey",2002-06-12,16:00,"Wuyi Shan",China,27.8114,117.7247,750,"male, song","In village surrounded by agriculture.

bird-seen:yes

playback-used:no",,723730,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Jorge Leitão",2022-04-03,12:00,"Pinhal da Gelfa (near  Vila Praia de Âncora), Caminha, Viana do Castelo",Portugal,41.7993,-8.867,10,"flight call","

bird-seen:yes

playback-used:no",,713333,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Xavier Riera",2021-09-05,15:30,"Conca de Barberà (near  Vallclara), Tarragona, Catalunya",Spain,41.3782,0.9802,650,"alarm call, life stage uncertain, sex uncertain","

bird-seen:yes

playback-used:no",,672469,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Xavier Riera",2021-09-05,15:30,"Conca de Barberà (near  Vallclara), Tarragona, Catalunya",Spain,41.3782,0.9802,650,"flight call, life stage uncertain, sex uncertain","

bird-seen:yes

playback-used:no",,672468,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Hans Matheve",2021-05-25,?,"Gentbrugse Meersen (south), Destelbergen, Oost-Vlaanderen",Belgium,51.035,3.7878,0,"flight call","

bird-seen:yes

playback-used:no",,656929,//creativecommons.org/licenses/by-nc-nd/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Jordi Calvet",2020-08-25,12:30,"Bellaguarda, Les Garrigues, Catalunya",Spain,41.3359,0.737,650,"adult, flight call, sex uncertain","

bird-seen:yes

playback-used:no",,587771,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Andrew Spencer",2019-04-03,6:12,"Hessaraghatta Kere, Karnataka",India,13.1487,77.4879,,call,"A single call from a bird flying close-by overhead. Archived at the Macaulay Library as ML148798971

bird-seen:yes

playback-used:no",,547901,//creativecommons.org/licenses/by-nc-nd/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Peter Boesman",2019-10-31,16:30,"South Pare mountains, Kilimanjaro",Tanzania,-4.1581,37.8695,,song,,,509984,//creativecommons.org/licenses/by-nc-nd/4.0/
"Red-rumped Swallow","Cecropis daurica",rufula,"Lars Lachmann",2019-06-29,07:30,"Mexilhoeira Grande, Portimão, Faro",Portugal,37.2364,-8.592,80,song,"6 strophes of song of a bird perched on a wire near the nest with its partner (strophes at 0:00, 0:28, 0:37, 0:56, 1:06 and 1:15), breaks between strophes original length, recorded from about 4 m distance

bird-seen:yes

playback-used:no","Carduelis carduelis,Streptopelia decaocto,Passer domesticus,Sylvia atricapilla",485355,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",rufula,"Boris Delahaie",2019-02-26,09:30,Taourta,Morocco,23.7946,-15.9105,0,"call, song","ca. 20 birds perched in trees in the morning.

Recording equipment: Olympus LS-12 + Sennheiser ME66

bird-seen:yes

playback-used:no",,463164,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",rufula,"Boris Delahaie",2019-02-26,09:30,Taourta,Morocco,23.7946,-15.9105,0,"call, song","ca. 20 birds perched in trees in the morning.

Recording equipment: Olympus LS-12 + Sennheiser ME66

bird-seen:yes

playback-used:no",,463162,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Esperanza Poveda",2018-04-01,?,"Córdoba, Córdoba, Andalucía",Spain,37.8891,-4.7732,110,"call, song","Grabado en la antena del bloque de pisos donde resido. cerca hay zonas ajardinadas.

bird-seen:no

playback-used:no",,460972,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"David Darrell-Lambert",2013-08-26,07:00,"Neo Chorio, Paphos",Cyprus,35.0523,32.3495,40,call,"

bird-seen:yes

playback-used:no",,447361,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Tejaswini Limaye",2018-11-15,18:10,"Bardez (near  Penha de França), North Goa, Goa",India,15.5334,73.8286,40,"flight call","4 individuals seen

bird-seen:yes

playback-used:no",,442768,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Peter Boesman",2017-12-10,10:00,"Area around Manyenjere forest, Nyika NP",Zambia,-10.58314,33.661119,,call,"Calls in flight.",,397895,//creativecommons.org/licenses/by-nc-nd/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Joost van Bruggen",2017-08-03,07:28,"Achaia, Western Greece, Peloponnisos Dytiki Ellada ke Ionio",Greece,38.1576,21.4,10,"flight call, song","

bird-seen:yes

playback-used:no",,383401,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Francesco Sottile",2017-07-29,11:23,"Amendolara, Provincia di Cosenza, Calabria",Italy,40.0298,16.4759,260,"call, flight call, song","

bird-seen:yes

playback-used:no",,381917,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Jordi Calvet",2016-08-21,19:44,"Serrall de les Espadelles, El Priorat, Catalunya",Spain,41.3196,0.7883,700,"flight call","

bird-seen:yes

playback-used:no",,334161,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Jordi Calvet",2016-08-21,19:27,"Serrall de les Espadelles, El Priorat, Catalunya",Spain,41.3196,0.7883,700,"flight call","

bird-seen:yes

playback-used:no",,334159,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Andrew Spencer",2014-12-25,06:30,"Awash National Park",Ethiopia,8.92,40.043,1000,"call, song","calls and song from one of a small group of birds flying overhead, on tall, open grasslands.

bird-seen:yes

playback-used:no",,267777,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Jordi Calvet",2014-07-31,09:39,"Bellaguarda, Les Garrigues, Catalunya",Spain,41.3359,0.737,650,"flight call","

bird-seen:yes

playback-used:no",,193697,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Matthias Feuersenger",2013-09-02,17:00,"Ypsonas, Limassol",Cyprus,34.7196,32.9276,220,call,"Flock of birds perched on a wire. Age and sex of the birds recorded unknown. Equipment used: Telinga Pro7 Stereo Dat Mic, Sound devices 702.

bird-seen:yes

playback-used:no",,171583,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Matthias Feuersenger",2013-09-02,17:00,"Ypsonas, Limassol",Cyprus,34.7196,32.9276,220,call,"Flock of birds perched on a wire. Age and sex of the birds recorded unknown. Equipment used: Telinga Pro7 Stereo Dat Mic, Sound devices 702.

bird-seen:yes

playback-used:no",,171582,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Simone Todisco",2013-08-17,18:30,"Monopoli, Bari, Apulia",Italy,40.8921,17.2762,280,"flight call","

bird-seen:yes","Hirundo rustica",145577,//creativecommons.org/licenses/by-nc-sa/3.0/
"Red-rumped Swallow","Cecropis daurica",,"Jordi Calvet",2009-08-09,19:30,"Bellaguarda, Les Garrigues, Catalunya",Spain,41.3359,0.737,600,"calls of nestlings","call of 2 or 3 birds in the nest",,72802,//creativecommons.org/licenses/by-nc-nd/2.5/
"Red-rumped Swallow","Cecropis daurica",,Sergi,2022-05-04,08:10,"Plaça Vila VNG - Catalunya",Spain,41.2243,1.7254,20,"flight call, life stage uncertain, sex uncertain","

bird-seen:no

playback-used:no","Carduelis carduelis,Chloris chloris",721768,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Esperanza Poveda",2021-08-30,?,?,Spain,,,?,"adult, flight call, juvenile, sex uncertain","Grupo de golondrinas dáuricas alimentándose y bebiendo antes de anochecer. Grabación realizada en el puente de un curso de agua temporal ubicado en un bosque de tipo mediterráneo con mezcla de pinos y encinas, matorral de ribera y suelo rocoso y escarpado. es pleno verano y tan sólo quedan algunos charcos.

bird-seen:yes

playback-used:no",,701892,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Esperanza Poveda",2021-08-30,?,?,Spain,,,?,"adult, flight call, juvenile, sex uncertain","Grupo de golondrinas dáuricas alimentándose y bebiendo antes de anochecer. Grabación realizada en el puente de un curso de agua temporal ubicado en un bosque de tipo mediterráneo con mezcla de pinos y encinas, matorral de ribera y suelo rocoso y escarpado. es pleno verano y tan sólo quedan algunos charcos.

bird-seen:yes

playback-used:no",,701891,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Esperanza Poveda",2021-08-30,?,?,Spain,,,?,"adult, flight call, juvenile, sex uncertain","Grupo de golondrinas dáuricas alimentándose y bebiendo antes de anochecer. Grabación realizada en el puente de un curso de agua temporal ubicado en un bosque de tipo mediterráneo con mezcla de pinos y encinas, matorral de ribera y suelo rocoso y escarpado. es pleno verano y tan sólo quedan algunos charcos.

bird-seen:yes

playback-used:no",,701890,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Esperanza Poveda",2021-08-30,?,?,Spain,,,?,"adult, flight call, juvenile, sex uncertain","Grupo de golondrinas dáuricas alimentándose y bebiendo antes de anochecer. Grabación realizada en el puente de un curso de agua temporal ubicado en un bosque de tipo mediterráneo con mezcla de pinos y encinas, matorral de ribera y suelo rocoso y escarpado. es pleno verano y tan sólo quedan algunos charcos.

bird-seen:yes

playback-used:no",,701889,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Esperanza Poveda",2021-08-30,?,?,Spain,,,?,"adult, flight call, juvenile, sex uncertain","  Grupo de golondrinas dáuricas alimentándose y bebiendo antes de anochecer. Grabación realizada en el puente de un curso de agua temporal ubicado en un bosque de tipo mediterráneo con mezcla de pinos y encinas, matorral de ribera y suelo rocoso y escarpado. es pleno verano y tan sólo quedan algunos charcos.

bird-seen:yes

playback-used:no",,701888,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Bram Piot",2022-01-25,08:30,"Nong Khouay wetlands south, Vientiane Province",Laos,18.3861,102.4995,170,call,"Small group calling while sitting on wires and flying around

bird-seen:yes

playback-used:no",,700182,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Sreekumar Chirukandoth",2021-11-21,07:30,"Mangalam R.F., Vellore, Tamil Nadu",India,12.584,78.6526,1000,"adult, call, sex uncertain","A pair of birds were perched on a powerline...frequently chirping. <https://ebird.org/checklist/S97864830>

bird-seen:yes

playback-used:no","Passer domesticus",697566,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Sreekumar Chirukandoth",2021-11-21,07:30,"Mangalam R.F., Vellore, Tamil Nadu",India,12.584,78.6526,1000,"adult, call, sex uncertain","A pair of birds were perched on a powerline...frequently chirping. <https://ebird.org/checklist/S97864830>

bird-seen:yes

playback-used:no",,697564,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Sreekumar Chirukandoth",2021-11-21,07:30,"Mangalam R.F., Vellore, Tamil Nadu",India,12.584,78.6526,1000,"adult, call, sex uncertain","A pair of birds were perched on a powerline...frequently chirping. <https://ebird.org/checklist/S97864830>

bird-seen:no

playback-used:no",,697563,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Sreekumar Chirukandoth",2021-11-21,07:30,"Mangalam R.F., Vellore, Tamil Nadu",India,12.584,78.6526,1000,"adult, call, sex uncertain","A pair of birds were perched on a powerline...frequently chirping. <https://ebird.org/checklist/S97864830>

bird-seen:no

playback-used:no","Passer domesticus",697562,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Sreekumar Chirukandoth",2021-11-21,07:30,"Mangalam R.F., Vellore, Tamil Nadu",India,12.584,78.6526,1000,"adult, call, sex uncertain","A pair of birds were perched on a powerline...frequently chirping. <https://ebird.org/checklist/S97864830>

bird-seen:no

playback-used:no",,697561,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Sreekumar Chirukandoth",2021-11-21,06:30,"Mangalam R.F., Vellore, Tamil Nadu",India,12.584,78.6526,1000,"adult, call, sex uncertain","A pair of birds were perched on a powerline...frequently chirping. <https://ebird.org/checklist/S97864830>

bird-seen:no

playback-used:no",,697560,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Paulo Alves",2021-03-07,13:00,"Belver (near  Amieira do Tejo), Gavião, Portalegre District",Portugal,39.493,-7.8924,240,"alarm call, flight call, song","

bird-seen:yes

playback-used:no",,627383,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Rombout de Wijs",2011-05-00,?,"Monfragüe, Extremadura",Spain,39.80801,-5.9333,280,song,"from:""Extremadura"", 2011, Rombout de Wijs.

bird-seen:yes

playback-used:no","Delichon urbicum,Parus major,Certhia brachydactyla",611239,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Eduardo Realinho",2020-09-07,14:30,"Hoya de Huesca/Plana de Uesca (near  Agüero), Huesca, Aragón",Spain,42.3534,-0.7945,650,"flight call","High-pass 1500hz

Noise-reduction -5db

Normalized -6db

bird-seen:yes

playback-used:no",,587199,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Jordi Calvet",2020-08-21,12:00,"Bellaguarda, Les Garrigues, Catalunya",Spain,41.3359,0.737,650,"adult, flight call, sex uncertain","Windy

bird-seen:yes

playback-used:no",,585423,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Antonio Xeira",2020-07-03,16:30,"Ervedal, Avis, Portalegre",Portugal,39.0275,-7.8178,200,"adult, call, sex uncertain","Call heard often, this time of day, around occupied nest.  Both birds of the couple silent when perched on the wire and when one  flew away, the call, by the the one that stayed perched, was heard when the other return to the area. Probably a contact/recognition call.

Editing: Some amplification.
Equipment: Olympus LS-12 digital recorder with Wildtronics Mono amplified parabolic microphone.


bird-seen:yes

playback-used:no","Carduelis carduelis",573328,//creativecommons.org/licenses/by-nc-nd/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Peter Boesman",2019-11-01,18:00,"Magamba forest reserve, Tanga",Tanzania,-4.7273,38.2506,,call,"Call in flight",,509985,//creativecommons.org/licenses/by-nc-nd/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Tom Tarrant",2009-01-01,08:30,"Mossman, Douglas Shire, Queensland",Australia,-16.443,145.3782,10,song,"Originally filmed on New Years Day 2009 near Mossman in North Queensland
(see https://youtu.be/TJ0DTLhjuFc)

bird-seen:yes

playback-used:no",,502701,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Stein Ø. Nilsen",2018-12-26,13:00,"Igumbilo Ranch, Makete, Njombe, Mbeya Region",Tanzania,-9.2088,34.3008,2600,"call, flight call","Zoom H5 Telinga

bird-seen:no

playback-used:no",,493838,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Anon Torimi",2014-09-01,06:30,"Kyoto City, Kyoto Prefecture (location very approximate, either low mountain or suburban region)",Japan,35.0282,135.7626,?,call,"Gathering on an electric wire under cloudy sky (before rain). 
Another type of call (or song?).
In suburban region of Kyoto city.


bird-seen:yes

playback-used:no",,489638,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Anon Torimi",2019-06-18,06:20,"Kyoto City, Kyoto Prefecture (location very approximate, either low mountain or suburban region)",Japan,35.0282,135.7626,?,"alarm call, call","Alarm call (final call was by Hirundo rustica) against Corvus corone.


bird-seen:yes

playback-used:no","Hirundo rustica",482315,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Peter Boesman",2019-04-10,08:00,"Corbett NP, Uttaranchal",India,29.5334,78.9334,,Call,"Calls in flight.",,472618,//creativecommons.org/licenses/by-nc-nd/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Anon Torimi",2019-05-10,07:55,"Kyoto City, Kyoto Prefecture (location very approximate, either low mountain or suburban region)",Japan,35.0282,135.7626,?,call,"Four birds assembled around the nest and issued this voice.


bird-seen:yes

playback-used:no",,472354,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Stanislas Wroza",2019-04-15,07:00,"Ersa, Haute-Corse, Corsica",France,43.0044,9.4058,0,"flight call","

bird-seen:yes

playback-used:no",,471959,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Stanislas Wroza",2019-04-15,07:00,"Ersa, Haute-Corse, Corsica",France,,,0,"flight call","

bird-seen:yes

playback-used:no",,471957,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Stanislas Wroza",2019-04-15,07:00,"Ersa, Haute-Corse, Corsica",France,43.0044,9.4058,0,"flight call","

bird-seen:yes

playback-used:no",,471955,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Stanislas Wroza",2019-04-12,07:00,"Rogliano, Haute-Corse, Corse",France,42.965,9.4512,0,"call, flight call","

bird-seen:yes

playback-used:no",,471774,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Jordi Calvet",2019-04-16,19:00,"Bellaguarda, Les Garrigues, Catalunya",Spain,41.3359,0.737,650,"song, song in flight","Two individuals in a flock with Hirundo rustica

bird-seen:yes

playback-used:no",,469885,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Thijs Fijen",2019-04-13,09:00,"La Lancha Road (near  Andújar), Jaén, Andalucía",Spain,38.2166,-3.9642,550,"call, song","

bird-seen:yes

playback-used:no","Sylvia melanocephala,Columba palumbus,Alectoris rufa,Coloeus monedula",467757,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Morvan Corentin",2019-03-28,09:00,"Oussertek, Al Haouz, Marrakech-Safi",Morocco,31.1998,-7.8888,2100,"flight call","

bird-seen:yes

playback-used:no",,464975,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Manuel Grosselet",2019-03-27,10:30,"En Hod East (near  Ein Hod), Hadera, Haifa District",Israel,32.7015,34.9833,140,"flight call","wildtronics mono amplified 
TAscam DR05 
three or 4 birds flying over head purshasing each other.

bird-seen:yes

playback-used:no",,464439,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Jorge Leitão",2017-08-24,18:33,"Praia da Arrifana, Aljezur, Faro",Portugal,37.2941,-8.8639,60,"flight call","

bird-seen:yes

playback-used:no","Saxicola rubicola",445700,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Jorge Leitão",2018-08-28,15:58,"Ponta da Piedade (near  Lagos), Lagos, Faro",Portugal,37.0796,-8.6686,20,"call, juvenile","Human voices

bird-seen:yes

playback-used:no","Passer domesticus,Sturnus unicolor",433098,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Jorge Leitão",2017-08-24,07:15,"Ponta da Piedade (near  Lagos), Lagos, Faro",Portugal,37.0796,-8.6686,20,call,"

bird-seen:yes

playback-used:no","Sturnus unicolor,Turdus merula,Sylvia melanocephala,Larus michahellis,Cyanopica cooki",433097,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Jordi Calvet",2018-08-18,20:00,"Bellaguarda, Les Garrigues, Catalunya",Spain,41.3359,0.737,650,"flight call, song, song in flight","

bird-seen:yes

playback-used:no",,432573,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Jordi Calvet",2018-08-18,19:00,"Bellaguarda, Les Garrigues, Catalunya",Spain,41.3359,0.737,650,"flight call","Birds in flight. Mixed flock: Hirundo rustica, Cecropis daurica and Delichon urbicum. Calls in flight of C.daurica 0:03; H.rustica 0:02 or 0:11

bird-seen:yes

playback-used:no","Hirundo rustica",432571,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Stanislas Wroza",2018-07-01,07:00,"Parque Nacional de Monfragüe (near  Torrejón el Rubio), Cáceres, Extremadura",Spain,39.8276,-6.0577,260,"call, flight call","

bird-seen:yes

playback-used:no",,423982,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Stanislas Wroza",2018-07-01,07:00,"Parque Nacional de Monfragüe (near  Torrejón el Rubio), Cáceres, Extremadura",Spain,39.8276,-6.0577,260,"call, flight call, song","

bird-seen:yes

playback-used:no",,423981,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Stanislas Wroza",2018-07-01,07:00,"Parque Nacional de Monfragüe (near  Torrejón el Rubio), Cáceres, Extremadura",Spain,39.8276,-6.0577,260,"call, flight call","

bird-seen:yes

playback-used:no",,423979,//creativecommons.org/licenses/by-nc-sa/4.0/
"Red-rumped Swallow","Cecropis daurica",,"Stanislas Wroza",2018-07-01,07:00,"Parque Nacional de Monfragüe (near  Torrejón el Rubio), Cáceres, Extremadura",Spain,39.8276,-6.0577,260,"call, flight call","

bird-seen:yes

playback-used:no",,423978,//creativecommons.org/licenses/by-nc-sa/4.0/
